Результаты расчета для бензол:
T (°C)    Плотность (г/см^3)
10.00     0.8840         
12.50     0.8816         
15.00     0.8792         
17.50     0.8768         
20.00     0.8744         
22.50     0.8719         
25.00     0.8695         
27.50     0.8670         
30.00     0.8645         
32.50     0.8620         
35.00     0.8594         
37.50     0.8569         
40.00     0.8543         
42.50     0.8517         
45.00     0.8491         
47.50     0.8465         
50.00     0.8439         
52.50     0.8412         
55.00     0.8385         
57.50     0.8358         
60.00     0.8331         
62.50     0.8303         
65.00     0.8276         
67.50     0.8248         
70.00     0.8220         
72.50     0.8191         
75.00     0.8163         
77.50     0.8134         
80.00     0.8105         
